# Numerov wave function for l=0
# r  Re(psi)  Im(psi)
0.000000  -0.0000000000  0.0000000000
0.020000  -0.0100900055  0.0169752407
0.040000  -0.0201668803  0.0339305090
0.060000  -0.0302175241  0.0508458794
0.080000  -0.0402288780  0.0677014886
0.100000  -0.0501879445  0.0844775628
0.120000  -0.0600818038  0.1011544419
0.140000  -0.0698976315  0.1177126027
0.160000  -0.0796227150  0.1341326824
0.180000  -0.0892444701  0.1503955023
0.200000  -0.0987504578  0.1664820907
0.220000  -0.1081284003  0.1823737053
0.240000  -0.1173661971  0.1980518561
0.260000  -0.1264519409  0.2134983274
0.280000  -0.1353739329  0.2286951996
0.300000  -0.1441206979  0.2436248704
0.320000  -0.1526809997  0.2582700762
0.340000  -0.1610438552  0.2726139121
0.360000  -0.1691985485  0.2866398525
0.380000  -0.1771346452  0.3003317703
0.400000  -0.1848420053  0.3136739563
0.420000  -0.1923107968  0.3266511373
0.440000  -0.1995315074  0.3392484944
0.460000  -0.2064949575  0.3514516802
0.480000  -0.2131923113  0.3632468356
0.500000  -0.2196150882  0.3746206060
0.520000  -0.2257551734  0.3855601563
0.540000  -0.2316048280  0.3960531863
0.560000  -0.2371566986  0.4060879443
0.580000  -0.2424038266  0.4156532406
0.600000  -0.2473396565  0.4247384601
0.620000  -0.2519580439  0.4333335741
0.640000  -0.2562532630  0.4414291514
0.660000  -0.2602200133  0.4490163687
0.680000  -0.2638534256  0.4560870197
0.700000  -0.2671490681  0.4626335242
0.720000  -0.2701029509  0.4686489358
0.740000  -0.2727115305  0.4741269487
0.760000  -0.2749717138  0.4790619039
0.780000  -0.2768808606  0.4834487946
0.800000  -0.2784367867  0.4872832707
0.820000  -0.2796377655  0.4905616418
0.840000  -0.2804825289  0.4932808805
0.860000  -0.2809702682  0.4954386237
0.880000  -0.2811006340  0.4970331736
0.900000  -0.2808737353  0.4980634977
0.920000  -0.2802901382  0.4985292278
0.940000  -0.2793508640  0.4984306583
0.960000  -0.2780573862  0.4977687431
0.980000  -0.2764116278  0.4965450926
1.000000  -0.2744159569  0.4947619687
1.020000  -0.2720731826  0.4924222797
1.040000  -0.2693865497  0.4895295739
1.060000  -0.2663597329  0.4860880325
1.080000  -0.2629968308  0.4821024617
1.100000  -0.2593023590  0.4775782838
1.120000  -0.2552812425  0.4725215277
1.140000  -0.2509388076  0.4669388183
1.160000  -0.2462807742  0.4608373652
1.180000  -0.2413132458  0.4542249508
