# Numerov wave function for l=2
# r  Re(psi)  Im(psi)
0.000000  -0.0000000000  0.0000000000
0.020000  -0.0000000000  0.0000000000
0.040000  -0.0000000000  0.0000000000
0.060000  -0.0000000000  0.0000000000
0.080000  -0.0000000000  0.0000000000
0.100000  -0.0000164660  0.0001196537
0.120000  -0.0000367080  0.0002667974
0.140000  -0.0000629605  0.0004577359
0.160000  -0.0000968014  0.0007040340
0.180000  -0.0001395523  0.0010154239
0.200000  -0.0001924105  0.0014007757
0.220000  -0.0002565002  0.0018684712
0.240000  -0.0003328938  0.0024265626
0.260000  -0.0004226204  0.0030828419
0.280000  -0.0005266700  0.0038448710
0.300000  -0.0006459939  0.0047199927
0.320000  -0.0007815044  0.0057153320
0.340000  -0.0009340741  0.0068377918
0.360000  -0.0011045341  0.0080940465
0.380000  -0.0012936724  0.0094905338
0.400000  -0.0015022326  0.0110334456
0.420000  -0.0017309117  0.0127287190
0.440000  -0.0019803588  0.0145820265
0.460000  -0.0022511734  0.0165987676
0.480000  -0.0025439035  0.0187840589
0.500000  -0.0028590446  0.0211427264
0.520000  -0.0031970378  0.0236792964
0.540000  -0.0035582690  0.0263979882
0.560000  -0.0039430670  0.0293027064
0.580000  -0.0043517030  0.0323970340
0.600000  -0.0047843890  0.0356842259
0.620000  -0.0052412774  0.0391672030
0.640000  -0.0057224594  0.0428485467
0.660000  -0.0062279652  0.0467304938
0.680000  -0.0067577625  0.0508149325
0.700000  -0.0073117565  0.0551033983
0.720000  -0.0078897893  0.0595970708
0.740000  -0.0084916396  0.0642967708
0.760000  -0.0091170225  0.0692029587
0.780000  -0.0097655893  0.0743157323
0.800000  -0.0104369278  0.0796348264
0.820000  -0.0111305621  0.0851596120
0.840000  -0.0118459530  0.0908890967
0.860000  -0.0125824982  0.0968219253
0.880000  -0.0133395329  0.1029563817
0.900000  -0.0141163303  0.1092903899
0.920000  -0.0149121022  0.1158215175
0.940000  -0.0157259996  0.1225469783
0.960000  -0.0165571140  0.1294636359
0.980000  -0.0174044777  0.1365680083
1.000000  -0.0182670655  0.1438562723
1.020000  -0.0191437952  0.1513242693
1.040000  -0.0200335293  0.1589675108
1.060000  -0.0209350761  0.1667811849
1.080000  -0.0218471910  0.1747601635
1.100000  -0.0227685782  0.1828990094
1.120000  -0.0236978921  0.1911919846
1.140000  -0.0246337388  0.1996330584
1.160000  -0.0255746779  0.2082159165
1.180000  -0.0265192244  0.2169339705
1.200000  -0.0274658504  0.2257803671
1.220000  -0.0284129868  0.2347479991
1.240000  -0.0293590254  0.2438295154
1.260000  -0.0303023210  0.2530173323
1.280000  -0.0312411931  0.2623036448
1.300000  -0.0321739282  0.2716804380
1.320000  -0.0330987821  0.2811394995
1.340000  -0.0340139815  0.2906724316
1.360000  -0.0349177266  0.3002706637
1.380000  -0.0358081933  0.3099254652
1.400000  -0.0366835352  0.3196279585
1.420000  -0.0375418862  0.3293691326
1.440000  -0.0383813622  0.3391398558
1.460000  -0.0392000640  0.3489308900
1.480000  -0.0399960793  0.3587329038
1.500000  -0.0407674849  0.3685364867
1.520000  -0.0415123492  0.3783321627
1.540000  -0.0422287346  0.3881104041
1.560000  -0.0429146993  0.3978616458
1.580000  -0.0435683002  0.4075762988
1.600000  -0.0441875948  0.4172447640
1.620000  -0.0447706437  0.4268574462
1.640000  -0.0453155127  0.4364047678
1.660000  -0.0458202752  0.4458771822
1.680000  -0.0462830145  0.4552651869
1.700000  -0.0467018258  0.4645593374
1.720000  -0.0470748186  0.4737502597
1.740000  -0.0474001190  0.4828286630
1.760000  -0.0476758717  0.4917853527
1.780000  -0.0479002423  0.5006112422
1.800000  -0.0480714194  0.5092973650
1.820000  -0.0481876169  0.5178348862
1.840000  -0.0482470760  0.5262151140
1.860000  -0.0482480674  0.5344295102
1.880000  -0.0481888934  0.5424697010
1.900000  -0.0480678901  0.5503274871
1.920000  -0.0478834294  0.5579948531
1.940000  -0.0476339213  0.5654639768
1.960000  -0.0473178157  0.5727272378
1.980000  -0.0469336050  0.5797772263
