# Numerov wave function for l=2
# r  Re(psi)  Im(psi)
2.000000  -0.0464798257  0.5866067502
2.020000  -0.0459550608  0.5932088428
2.040000  -0.0453579420  0.5995767692
2.060000  -0.0446871515  0.6057040330
2.080000  -0.0439414247  0.6115843817
2.100000  -0.0431195518  0.6172118119
2.120000  -0.0422203804  0.6225805742
2.140000  -0.0412428174  0.6276851769
2.160000  -0.0401858313  0.6325203900
2.180000  -0.0390484548  0.6370812481
2.200000  -0.0378297862  0.6413630528
2.220000  -0.0365289927  0.6453613749
2.240000  -0.0351453117  0.6490720557
2.260000  -0.0336780536  0.6524912082
2.280000  -0.0321266043  0.6556152174
2.300000  -0.0304904268  0.6584407404
2.320000  -0.0287690642  0.6609647056
2.340000  -0.0269621413  0.6631843125
2.360000  -0.0250693675  0.6650970296
2.380000  -0.0230905387  0.6667005927
2.400000  -0.0210255395  0.6679930032
2.420000  -0.0188743456  0.6689725248
2.440000  -0.0166370256  0.6696376813
2.460000  -0.0143137434  0.6699872526
2.480000  -0.0119047600  0.6700202715
2.500000  -0.0094104355  0.6697360195
2.520000  -0.0068312309  0.6691340232
2.540000  -0.0041677096  0.6682140490
2.560000  -0.0014205396  0.6669760990
2.580000  0.0014095059  0.6654204061
2.600000  0.0043215465  0.6635474289
2.620000  0.0073145937  0.6613578462
2.640000  0.0103875502  0.6588525522
2.660000  0.0135392088  0.6560326508
2.680000  0.0167682518  0.6528994499
2.700000  0.0200732512  0.6494544563
2.720000  0.0234526680  0.6456993696
2.740000  0.0269048527  0.6416360769
2.760000  0.0304280458  0.6372666471
2.780000  0.0340203779  0.6325933251
2.800000  0.0376798717  0.6276185265
2.820000  0.0414044421  0.6223448321
2.840000  0.0451918985  0.6167749821
2.860000  0.0490399465  0.6109118709
2.880000  0.0529461897  0.6047585421
2.900000  0.0569081325  0.5983181828
2.920000  0.0609231826  0.5915941190
2.940000  0.0649886540  0.5845898104
2.960000  0.0691017703  0.5773088455
2.980000  0.0732596683  0.5697549371
3.000000  0.0774594019  0.5619319176
3.020000  0.0816979459  0.5538437346
3.040000  0.0859722005  0.5454944467
3.060000  0.0902789959  0.5368882190
3.080000  0.0946150968  0.5280293194
3.100000  0.0989772075  0.5189221146
3.120000  0.1033619770  0.5095710661
3.140000  0.1077660044  0.4999807270
3.160000  0.1121858436  0.4901557381
3.180000  0.1166180098  0.4801008244
3.200000  0.1210589842  0.4698207921
3.220000  0.1255052200  0.4593205253
3.240000  0.1299531481  0.4486049828
3.260000  0.1343991824  0.4376791951
3.280000  0.1388397261  0.4265482616
3.300000  0.1432711766  0.4152173474
3.320000  0.1476899315  0.4036916811
3.340000  0.1520923939  0.3919765516
3.360000  0.1564749780  0.3800773057
3.380000  0.1608341142  0.3679993456
3.400000  0.1651662541  0.3557481260
3.420000  0.1694678757  0.3433291521
3.440000  0.1737354884  0.3307479769
3.460000  0.1779656370  0.3180101988
3.480000  0.1821549069  0.3051214596
3.500000  0.1862999277  0.2920874416
3.520000  0.1903973778  0.2789138660
3.540000  0.1944439877  0.2656064901
3.560000  0.1984365445  0.2521711062
3.580000  0.2023718950  0.2386135390
3.600000  0.2062469497  0.2249396444
3.620000  0.2100586851  0.2111553060
3.640000  0.2138041467  0.1972664339
3.660000  0.2174804512  0.1832789615
3.680000  0.2210847891  0.1691988441
3.700000  0.2246144265  0.1550320560
3.720000  0.2280667068  0.1407845887
3.740000  0.2314390525  0.1264624486
3.760000  0.2347289663  0.1120716547
3.780000  0.2379340324  0.0976182370
3.800000  0.2410519173  0.0831082335
3.820000  0.2440803710  0.0685476892
3.840000  0.2470172269  0.0539426530
3.860000  0.2498604028  0.0392991765
3.880000  0.2526079009  0.0246233114
3.900000  0.2552578078  0.0099211079
3.920000  0.2578082949  -0.0048013874
3.940000  0.2602576176  -0.0195381337
3.960000  0.2626041156  -0.0342830975
3.980000  0.2648462120  -0.0490302547
4.000000  0.2669824132  -0.0637735925
4.020000  0.2690113081  -0.0785071112
4.040000  0.2709315673  -0.0932248261
4.060000  0.2727419426  -0.1079207692
4.080000  0.2744412660  -0.1225889912
4.100000  0.2760284488  -0.1372235630
4.120000  0.2775024807  -0.1518185779
4.140000  0.2788624288  -0.1663681527
4.160000  0.2801074365  -0.1808664301
4.180000  0.2812367225  -0.1953075800
4.200000  0.2822495798  -0.2096858013
4.220000  0.2831453743  -0.2239953236
4.240000  0.2839235440  -0.2382304089
4.260000  0.2845835977  -0.2523853533
4.280000  0.2851251137  -0.2664544886
4.300000  0.2855477390  -0.2804321838
4.320000  0.2858511879  -0.2943128470
4.340000  0.2860352408  -0.3080909270
4.360000  0.2860997433  -0.3217609146
4.380000  0.2860446049  -0.3353173448
4.400000  0.2858697979  -0.3487547976
4.420000  0.2855753563  -0.3620679004
4.440000  0.2851613748  -0.3752513292
4.460000  0.2846280077  -0.3882998101
4.480000  0.2839754678  -0.4012081212
4.500000  0.2832040251  -0.4139710941
4.520000  0.2823140065  -0.4265836151
4.540000  0.2813057941  -0.4390406273
4.560000  0.2801798246  -0.4513371321
4.580000  0.2789365882  -0.4634681902
4.600000  0.2775766277  -0.4754289242
4.620000  0.2761005377  -0.4872145190
4.640000  0.2745089637  -0.4988202242
4.660000  0.2728026010  -0.5102413556
4.680000  0.2709821940  -0.5214732960
4.700000  0.2690485355  -0.5325114979
4.720000  0.2670024657  -0.5433514840
4.740000  0.2648448716  -0.5539888494
4.760000  0.2625766860  -0.5644192629
4.780000  0.2601988869  -0.5746384684
4.800000  0.2577124966  -0.5846422867
4.820000  0.2551185813  -0.5944266169
4.840000  0.2524182500  -0.6039874379
4.860000  0.2496126539  -0.6133208096
4.880000  0.2467029859  -0.6224228750
4.900000  0.2436904799  -0.6312898611
4.920000  0.2405764097  -0.6399180809
4.940000  0.2373620889  -0.6483039341
4.960000  0.2340488699  -0.6564439094
4.980000  0.2306381434  -0.6643345852
5.000000  0.2271313377  -0.6719726314
5.020000  0.2235299181  -0.6793548109
5.040000  0.2198353860  -0.6864779804
5.060000  0.2160492789  -0.6933390924
5.080000  0.2121731690  -0.6999351961
5.100000  0.2082086632  -0.7062634389
5.120000  0.2041574021  -0.7123210675
5.140000  0.2000210595  -0.7181054296
5.160000  0.1958013417  -0.7236139747
5.180000  0.1914999871  -0.7288442553
5.200000  0.1871187652  -0.7337939284
5.220000  0.1826594761  -0.7384607566
5.240000  0.1781239502  -0.7428426090
5.260000  0.1735140470  -0.7469374623
5.280000  0.1688316548  -0.7507434024
5.300000  0.1640786900  -0.7542586248
5.320000  0.1592570962  -0.7574814357
5.340000  0.1543688440  -0.7604102535
5.360000  0.1494159298  -0.7630436091
5.380000  0.1444003754  -0.7653801472
5.400000  0.1393242274  -0.7674186268
5.420000  0.1341895563  -0.7691579225
5.440000  0.1289984557  -0.7705970250
5.460000  0.1237530421  -0.7717350417
5.480000  0.1184554534  -0.7725711978
5.500000  0.1131078489  -0.7731048366
5.520000  0.1077124080  -0.7733354204
5.540000  0.1022713299  -0.7732625308
5.560000  0.0967868326  -0.7728858695
5.580000  0.0912611520  -0.7722052586
5.600000  0.0856965413  -0.7712206411
5.620000  0.0800952705  -0.7699320814
5.640000  0.0744596249  -0.7683397654
5.660000  0.0687919048  -0.7664440012
5.680000  0.0630944247  -0.7642452188
5.700000  0.0573695122  -0.7617439708
5.720000  0.0516195075  -0.7589409324
5.740000  0.0458467620  -0.7558369012
5.760000  0.0400536381  -0.7524327978
5.780000  0.0342425081  -0.7487296655
5.800000  0.0284157530  -0.7447286700
5.820000  0.0225757622  -0.7404310998
5.840000  0.0167249321  -0.7358383657
5.860000  0.0108656655  -0.7309520009
5.880000  0.0050003708  -0.7257736602
5.900000  -0.0008685395  -0.7203051203
5.920000  -0.0067386488  -0.7145482790
5.940000  -0.0126075381  -0.7085051550
5.960000  -0.0184727867  -0.7021778873
5.980000  -0.0243319728  -0.6955687348
6.000000  -0.0301826750  -0.6886800756
6.020000  -0.0360224728  -0.6815144064
6.040000  -0.0418489476  -0.6740743419
6.060000  -0.0476596840  -0.6663626137
6.080000  -0.0534522703  -0.6583820700
6.100000  -0.0592242998  -0.6501356745
6.120000  -0.0649733715  -0.6416265053
6.140000  -0.0706970913  -0.6328577542
6.160000  -0.0763930727  -0.6238327259
6.180000  -0.0820589381  -0.6145548361
6.200000  -0.0876923196  -0.6050276114
6.220000  -0.0932908598  -0.5952546874
6.240000  -0.0988522130  -0.5852398076
6.260000  -0.1043740462  -0.5749868224
6.280000  -0.1098540398  -0.5644996876
6.300000  -0.1152898889  -0.5537824628
6.320000  -0.1206793041  -0.5428393103
6.340000  -0.1260200124  -0.5316744934
6.360000  -0.1313097582  -0.5202923749
6.380000  -0.1365463044  -0.5086974157
6.400000  -0.1417274332  -0.4968941726
6.420000  -0.1468509472  -0.4848872975
6.440000  -0.1519146702  -0.4726815348
6.460000  -0.1569164480  -0.4602817201
6.480000  -0.1618541499  -0.4476927781
6.500000  -0.1667256689  -0.4349197211
6.520000  -0.1715289234  -0.4219676467
6.540000  -0.1762618573  -0.4088417360
6.560000  -0.1809224415  -0.3955472516
6.580000  -0.1855086747  -0.3820895353
6.600000  -0.1900185841  -0.3684740065
6.620000  -0.1944502265  -0.3547061596
6.640000  -0.1988016889  -0.3407915620
6.660000  -0.2030710897  -0.3267358519
6.680000  -0.2072565795  -0.3125447359
6.700000  -0.2113563416  -0.2982239870
6.720000  -0.2153685932  -0.2837794419
6.740000  -0.2192915861  -0.2692169989
6.760000  -0.2231236075  -0.2545426153
6.780000  -0.2268629809  -0.2397623053
6.800000  -0.2305080666  -0.2248821370
6.820000  -0.2340572629  -0.2099082304
6.840000  -0.2375090064  -0.1948467545
6.860000  -0.2408617732  -0.1797039249
6.880000  -0.2441140791  -0.1644860015
6.900000  -0.2472644810  -0.1491992852
6.920000  -0.2503115768  -0.1338501157
6.940000  -0.2532540067  -0.1184448690
6.960000  -0.2560904537  -0.1029899543
6.980000  -0.2588196441  -0.0874918115
7.000000  -0.2614403482  -0.0719569084
7.020000  -0.2639513809  -0.0563917378
7.040000  -0.2663516026  -0.0408028153
7.060000  -0.2686399193  -0.0251966757
7.080000  -0.2708152834  -0.0095798708
7.100000  -0.2728766941  0.0060410337
7.120000  -0.2748231984  0.0216594611
7.140000  -0.2766538908  0.0372688262
7.160000  -0.2783679146  0.0528625385
7.180000  -0.2799644616  0.0684340051
7.200000  -0.2814427731  0.0839766332
7.220000  -0.2828021403  0.0994838334
7.240000  -0.2840419043  0.1149490224
7.260000  -0.2851614568  0.1303656257
7.280000  -0.2861602404  0.1457270812
7.300000  -0.2870377487  0.1610268411
7.320000  -0.2877935270  0.1762583756
7.340000  -0.2884271725  0.1914151755
7.360000  -0.2889383342  0.2064907551
7.380000  -0.2893267137  0.2214786550
7.400000  -0.2895920648  0.2363724453
7.420000  -0.2897341943  0.2511657282
7.440000  -0.2897529619  0.2658521409
7.460000  -0.2896482802  0.2804253585
7.480000  -0.2894201150  0.2948790970
7.500000  -0.2890684857  0.3092071159
7.520000  -0.2885934647  0.3234032213
7.540000  -0.2879951779  0.3374612684
7.560000  -0.2872738050  0.3513751645
7.580000  -0.2864295787  0.3651388716
7.600000  -0.2854627856  0.3787464097
7.620000  -0.2843737654  0.3921918586
7.640000  -0.2831629113  0.4054693615
7.660000  -0.2818306698  0.4185731273
7.680000  -0.2803775405  0.4314974333
7.700000  -0.2788040762  0.4442366277
7.720000  -0.2771108823  0.4567851325
7.740000  -0.2752986170  0.4691374462
7.760000  -0.2733679912  0.4812881456
7.780000  -0.2713197678  0.4932318894
7.800000  -0.2691547617  0.5049634198
7.820000  -0.2668738396  0.5164775655
7.840000  -0.2644779197  0.5277692439
7.860000  -0.2619679711  0.5388334636
7.880000  -0.2593450137  0.5496653265
7.900000  -0.2566101179  0.5602600306
7.920000  -0.2537644039  0.5706128718
7.940000  -0.2508090414  0.5807192465
7.960000  -0.2477452494  0.5905746535
7.980000  -0.2445742954  0.6001746965
8.000000  -0.2412974951  0.6095150857
8.020000  -0.2379162117  0.6185916406
8.040000  -0.2344318556  0.6274002912
8.060000  -0.2308458837  0.6359370806
8.080000  -0.2271597990  0.6441981668
8.100000  -0.2233751495  0.6521798241
8.120000  -0.2194935283  0.6598784457
8.140000  -0.2155165723  0.6672905450
8.160000  -0.2114459621  0.6744127572
8.180000  -0.2072834207  0.6812418415
8.200000  -0.2030307134  0.6877746823
8.220000  -0.1986896466  0.6940082908
8.240000  -0.1942620674  0.6999398066
8.260000  -0.1897498625  0.7055664992
8.280000  -0.1851549578  0.7108857694
8.300000  -0.1804793172  0.7158951504
8.320000  -0.1757249422  0.7205923095
8.340000  -0.1708938704  0.7249750489
8.360000  -0.1659881754  0.7290413072
8.380000  -0.1610099656  0.7327891601
8.400000  -0.1559613831  0.7362168221
8.420000  -0.1508446029  0.7393226467
8.440000  -0.1456618324  0.7421051279
8.460000  -0.1404153096  0.7445629008
8.480000  -0.1351073032  0.7466947425
8.500000  -0.1297401105  0.7484995728
8.520000  -0.1243160574  0.7499764548
8.540000  -0.1188374966  0.7511245954
8.560000  -0.1133068073  0.7519433463
8.580000  -0.1077263935  0.7524322040
8.600000  -0.1020986835  0.7525908103
8.620000  -0.0964261284  0.7524189528
8.640000  -0.0907112013  0.7519165650
8.660000  -0.0849563964  0.7510837268
8.680000  -0.0791642272  0.7499206642
8.700000  -0.0733372261  0.7484277497
8.720000  -0.0674779433  0.7466055022
8.740000  -0.0615889448  0.7444545871
8.760000  -0.0556728126  0.7419758157
8.780000  -0.0497321422  0.7391701458
8.800000  -0.0437695425  0.7360386806
8.820000  -0.0377876342  0.7325826690
8.840000  -0.0317890484  0.7288035048
8.860000  -0.0257764261  0.7247027266
8.880000  -0.0197524164  0.7202820169
8.900000  -0.0137196755  0.7155432017
8.920000  -0.0076808657  0.7104882499
8.940000  -0.0016386539  0.7051192727
8.960000  0.0044042891  0.6994385222
8.980000  0.0104452905  0.6934483912
9.000000  0.0164816761  0.6871514121
9.020000  0.0225107718  0.6805502557
9.040000  0.0285299047  0.6736477303
9.060000  0.0345364044  0.6664467807
9.080000  0.0405276040  0.6589504868
9.100000  0.0465008416  0.6511620624
9.120000  0.0524534613  0.6430848542
9.140000  0.0583828144  0.6347223398
9.160000  0.0642862607  0.6260781271
9.180000  0.0701611696  0.6171559519
9.200000  0.0760049216  0.6079596770
9.220000  0.0818149089  0.5984932906
9.240000  0.0875885371  0.5887609041
9.260000  0.0933232263  0.5787667509
9.280000  0.0990164121  0.5685151842
9.300000  0.1046655468  0.5580106755
9.320000  0.1102681009  0.5472578126
9.340000  0.1158215637  0.5362612975
9.360000  0.1213234449  0.5250259444
9.380000  0.1267712757  0.5135566780
9.400000  0.1321626097  0.5018585307
9.420000  0.1374950242  0.4899366411
9.440000  0.1427661213  0.4777962516
9.460000  0.1479735290  0.4654427057
9.480000  0.1531149023  0.4528814462
9.500000  0.1581879242  0.4401180127
9.520000  0.1631903069  0.4271580390
9.540000  0.1681197930  0.4140072508
9.560000  0.1729741561  0.4006714631
9.580000  0.1777512022  0.3871565778
9.600000  0.1824487707  0.3734685810
9.620000  0.1870647353  0.3596135403
9.640000  0.1915970049  0.3455976021
9.660000  0.1960435251  0.3314269893
9.680000  0.2004022782  0.3171079978
9.700000  0.2046712854  0.3026469945
9.720000  0.2088486064  0.2880504140
9.740000  0.2129323415  0.2733247556
9.760000  0.2169206316  0.2584765810
9.780000  0.2208116598  0.2435125109
9.800000  0.2246036516  0.2284392221
9.820000  0.2282948762  0.2132634447
9.840000  0.2318836472  0.1979919589
9.860000  0.2353683233  0.1826315921
9.880000  0.2387473093  0.1671892157
9.900000  0.2420190565  0.1516717423
9.920000  0.2451820640  0.1360861220
9.940000  0.2482348789  0.1204393401
9.960000  0.2511760971  0.1047384132
9.980000  0.2540043643  0.0889903864
10.000000  0.2567183763  0.0732023303
10.020000  0.2593168798  0.0573813372
10.040000  0.2617986730  0.0415345185
10.060000  0.2641626062  0.0256690011
10.080000  0.2664075822  0.0097919245
10.100000  0.2685325570  -0.0060895629
10.120000  0.2705365405  -0.0219683066
10.140000  0.2724185966  -0.0378371495
10.160000  0.2741778439  -0.0536889351
10.180000  0.2758134560  -0.0695165108
10.200000  0.2773246622  -0.0853127310
10.220000  0.2787107477  -0.1010704607
10.240000  0.2799710537  -0.1167825783
10.260000  0.2811049785  -0.1324419794
10.280000  0.2821119768  -0.1480415795
10.300000  0.2829915611  -0.1635743175
10.320000  0.2837433009  -0.1790331593
10.340000  0.2843668238  -0.1944111002
10.360000  0.2848618151  -0.2097011690
10.380000  0.2852280185  -0.2248964306
10.400000  0.2854652357  -0.2399899893
10.420000  0.2855733270  -0.2549749924
10.440000  0.2855522113  -0.2698446327
10.460000  0.2854018660  -0.2845921522
10.480000  0.2851223272  -0.2992108449
10.500000  0.2847136898  -0.3136940600
10.520000  0.2841761072  -0.3280352052
10.540000  0.2835097915  -0.3422277491
10.560000  0.2827150137  -0.3562652251
10.580000  0.2817921030  -0.3701412338
10.600000  0.2807414471  -0.3838494461
10.620000  0.2795634920  -0.3973836063
10.640000  0.2782587419  -0.4107375347
10.660000  0.2768277588  -0.4239051310
10.680000  0.2752711625  -0.4368803766
10.700000  0.2735896302  -0.4496573376
10.720000  0.2717838963  -0.4622301678
10.740000  0.2698547523  -0.4745931112
10.760000  0.2678030458  -0.4867405046
10.780000  0.2656296812  -0.4986667807
10.800000  0.2633356183  -0.5103664700
10.820000  0.2609218724  -0.5218342042
10.840000  0.2583895142  -0.5330647181
10.860000  0.2557396684  -0.5440528523
10.880000  0.2529735141  -0.5547935556
10.900000  0.2500922841  -0.5652818877
10.920000  0.2470972638  -0.5755130208
10.940000  0.2439897915  -0.5854822427
10.960000  0.2407712572  -0.5951849586
10.980000  0.2374431022  -0.6046166932
11.000000  0.2340068185  -0.6137730931
11.020000  0.2304639483  -0.6226499288
11.040000  0.2268160827  -0.6312430966
11.060000  0.2230648620  -0.6395486207
11.080000  0.2192119739  -0.6475626550
11.100000  0.2152591536  -0.6552814851
11.120000  0.2112081826  -0.6627015298
11.140000  0.2070608880  -0.6698193431
11.160000  0.2028191417  -0.6766316158
11.180000  0.1984848596  -0.6831351771
11.200000  0.1940600007  -0.6893269959
11.220000  0.1895465662  -0.6952041828
11.240000  0.1849465987  -0.7007639909
11.260000  0.1802621812  -0.7060038177
11.280000  0.1754954363  -0.7109212060
11.300000  0.1706485249  -0.7155138453
11.320000  0.1657236457  -0.7197795728
11.340000  0.1607230339  -0.7237163746
11.360000  0.1556489602  -0.7273223869
11.380000  0.1505037300  -0.7305958964
11.400000  0.1452896821  -0.7335353417
11.420000  0.1400091877  -0.7361393139
11.440000  0.1346646495  -0.7384065574
11.460000  0.1292585005  -0.7403359702
11.480000  0.1237932028  -0.7419266052
11.500000  0.1182712465  -0.7431776701
11.520000  0.1126951487  -0.7440885281
11.540000  0.1070674524  -0.7446586984
11.560000  0.1013907251  -0.7448878561
11.580000  0.0956675578  -0.7447758329
11.600000  0.0899005638  -0.7443226170
11.620000  0.0840923775  -0.7435283533
11.640000  0.0782456530  -0.7423933433
11.660000  0.0723630633  -0.7409180451
11.680000  0.0664472989  -0.7391030733
11.700000  0.0605010661  -0.7369491988
11.720000  0.0545270868  -0.7344573485
11.740000  0.0485280960  -0.7316286050
11.760000  0.0425068415  -0.7284642061
11.780000  0.0364660825  -0.7249655444
11.800000  0.0304085876  -0.7211341666
11.820000  0.0243371346  -0.7169717731
11.840000  0.0182545084  -0.7124802171
11.860000  0.0121635001  -0.7076615037
11.880000  0.0060669057  -0.7025177895
11.900000  -0.0000324756  -0.6970513813
11.920000  -0.0061318418  -0.6912647352
11.940000  -0.0122283905  -0.6851604554
11.960000  -0.0183193193  -0.6787412936
11.980000  -0.0244018276  -0.6720101471
12.000000  -0.0304731176  -0.6649700580
12.020000  -0.0365303958  -0.6576242116
12.040000  -0.0425708743  -0.6499759354
12.060000  -0.0485917719  -0.6420286971
12.080000  -0.0545903156  -0.6337861033
12.100000  -0.0605637417  -0.6252518982
12.120000  -0.0665092971  -0.6164299613
12.140000  -0.0724242410  -0.6073243063
12.160000  -0.0783058454  -0.5979390789
12.180000  -0.0841513970  -0.5882785551
12.200000  -0.0899581983  -0.5783471392
12.220000  -0.0957235688  -0.5681493620
12.240000  -0.1014448461  -0.5576898785
12.260000  -0.1071193875  -0.5469734661
12.280000  -0.1127445709  -0.5360050221
12.300000  -0.1183177962  -0.5247895618
12.320000  -0.1238364866  -0.5133322162
12.340000  -0.1292980895  -0.5016382293
12.360000  -0.1347000778  -0.4897129562
12.380000  -0.1400399515  -0.4775618605
12.400000  -0.1453152382  -0.4651905117
12.420000  -0.1505234948  -0.4526045828
12.440000  -0.1556623082  -0.4398098476
12.460000  -0.1607292968  -0.4268121783
12.480000  -0.1657221115  -0.4136175426
12.500000  -0.1706384368  -0.4002320009
12.520000  -0.1754759918  -0.3866617039
12.540000  -0.1802325312  -0.3729128893
12.560000  -0.1849058469  -0.3589918794
12.580000  -0.1894937682  -0.3449050780
12.600000  -0.1939941636  -0.3306589674
12.620000  -0.1984049412  -0.3162601055
12.640000  -0.2027240502  -0.3017151228
12.660000  -0.2069494815  -0.2870307193
12.680000  -0.2110792687  -0.2722136616
12.700000  -0.2151114894  -0.2572707795
12.720000  -0.2190442654  -0.2422089629
12.740000  -0.2228757643  -0.2270351592
12.760000  -0.2266042001  -0.2117563690
12.780000  -0.2302278338  -0.1963796439
12.800000  -0.2337449747  -0.1809120828
12.820000  -0.2371539807  -0.1653608286
12.840000  -0.2404532597  -0.1497330649
12.860000  -0.2436412696  -0.1340360129
12.880000  -0.2467165197  -0.1182769278
12.900000  -0.2496775712  -0.1024630955
12.920000  -0.2525230376  -0.0866018294
12.940000  -0.2552515857  -0.0707004668
12.960000  -0.2578619364  -0.0547663656
12.980000  -0.2603528646  -0.0388069008
13.000000  -0.2627232007  -0.0228294614
13.020000  -0.2649718304  -0.0068414464
13.040000  -0.2670976958  0.0091497381
13.060000  -0.2690997955  0.0251366828
13.080000  -0.2709771855  0.0411119781
13.100000  -0.2727289790  0.0570682181
13.120000  -0.2743543477  0.0729980037
13.140000  -0.2758525216  0.0888939462
13.160000  -0.2772227895  0.1047486705
13.180000  -0.2784644995  0.1205548191
13.200000  -0.2795770590  0.1363050549
13.220000  -0.2805599356  0.1519920649
13.240000  -0.2814126568  0.1676085635
13.260000  -0.2821348103  0.1831472964
13.280000  -0.2827260446  0.1986010431
13.300000  -0.2831860687  0.2139626210
13.320000  -0.2835146528  0.2292248887
13.340000  -0.2837116280  0.2443807488
13.360000  -0.2837768863  0.2594231518
13.380000  -0.2837103812  0.2743450992
13.400000  -0.2835121273  0.2891396467
13.420000  -0.2831822006  0.3037999077
13.440000  -0.2827207381  0.3183190560
13.460000  -0.2821279384  0.3326903297
13.480000  -0.2814040607  0.3469070339
13.500000  -0.2805494257  0.3609625440
13.520000  -0.2795644149  0.3748503088
13.540000  -0.2784494703  0.3885638536
13.560000  -0.2772050948  0.4020967831
13.580000  -0.2758318516  0.4154427847
13.600000  -0.2743303637  0.4285956313
13.620000  -0.2727013143  0.4415491840
13.640000  -0.2709454461  0.4542973955
13.660000  -0.2690635607  0.4668343127
13.680000  -0.2670565191  0.4791540792
13.700000  -0.2649252403  0.4912509387
13.720000  -0.2626707016  0.5031192373
13.740000  -0.2602939379  0.5147534260
13.760000  -0.2577960413  0.5261480641
13.780000  -0.2551781606  0.5372978207
13.800000  -0.2524415007  0.5481974781
13.820000  -0.2495873221  0.5588419340
13.840000  -0.2466169406  0.5692262038
13.860000  -0.2435317260  0.5793454229
13.880000  -0.2403331024  0.5891948495
13.900000  -0.2370225468  0.5987698662
13.920000  -0.2336015888  0.6080659827
