# Numerov wave function for l=5
# r  Re(psi)  Im(psi)
3.320000  0.1314202173  0.0819843849
3.340000  0.1350324868  0.0838461452
3.360000  0.1387131058  0.0857289564
3.380000  0.1424625594  0.0876326923
3.400000  0.1462813129  0.0895572266
3.420000  0.1501698114  0.0915024333
3.440000  0.1541284788  0.0934681865
3.460000  0.1581577176  0.0954543606
3.480000  0.1622579078  0.0974608300
3.500000  0.1664294064  0.0994874698
3.520000  0.1706725470  0.1015341550
3.540000  0.1749876388  0.1036007609
3.560000  0.1793749667  0.1056871631
3.580000  0.1838347908  0.1077932377
3.600000  0.1883673462  0.1099188609
3.620000  0.1929728419  0.1120639091
3.640000  0.1976514610  0.1142282587
3.660000  0.2024033599  0.1164117859
3.680000  0.2072286674  0.1186143661
3.700000  0.2121274850  0.1208358743
3.720000  0.2170998858  0.1230761845
3.740000  0.2221459142  0.1253351692
3.760000  0.2272655857  0.1276126993
3.780000  0.2324588861  0.1299086440
3.800000  0.2377257713  0.1322228701
3.820000  0.2430661669  0.1345552417
3.840000  0.2484799674  0.1369056199
3.860000  0.2539670364  0.1392738627
3.880000  0.2595272058  0.1416598241
3.900000  0.2651602753  0.1440633539
3.920000  0.2708660125  0.1464842977
3.940000  0.2766441520  0.1489224957
3.960000  0.2824943954  0.1513777832
3.980000  0.2884164106  0.1538499894
4.000000  0.2944098320  0.1563389375
4.020000  0.3004742594  0.1588444441
4.040000  0.3066092584  0.1613663188
4.060000  0.3128143594  0.1639043638
4.080000  0.3190890580  0.1664583736
4.100000  0.3254328138  0.1690281345
4.120000  0.3318450510  0.1716134242
4.140000  0.3383251575  0.1742140114
4.160000  0.3448724848  0.1768296557
4.180000  0.3514863478  0.1794601068
4.200000  0.3581660243  0.1821051046
4.220000  0.3649107549  0.1847643784
4.240000  0.3717197430  0.1874376470
4.260000  0.3785921539  0.1901246181
4.280000  0.3855271152  0.1928249880
4.300000  0.3925237164  0.1955384415
4.320000  0.3995810086  0.1982646513
4.340000  0.4066980042  0.2010032782
4.360000  0.4138736770  0.2037539703
4.380000  0.4211069621  0.2065163632
4.400000  0.4283967553  0.2092900795
4.420000  0.4357419133  0.2120747285
4.440000  0.4431412537  0.2148699066
4.460000  0.4505935544  0.2176751963
4.480000  0.4580975542  0.2204901665
4.500000  0.4656519520  0.2233143723
4.520000  0.4732554073  0.2261473548
4.540000  0.4809065399  0.2289886409
4.560000  0.4886039300  0.2318377435
4.580000  0.4963461180  0.2346941608
4.600000  0.5041316048  0.2375573768
4.620000  0.5119588516  0.2404268610
4.640000  0.5198262802  0.2433020683
4.660000  0.5277322726  0.2461824390
4.680000  0.5356751717  0.2490673989
4.700000  0.5436532811  0.2519563590
4.720000  0.5516648652  0.2548487158
4.740000  0.5597081493  0.2577438511
4.760000  0.5677813202  0.2606411322
4.780000  0.5758825258  0.2635399119
4.800000  0.5840098759  0.2664395283
