# SLAM wave function for l=0
# r  Re(psi)  Im(psi)
0.005577  -0.0028139014  0.0047343447
0.029377  -0.0148148876  0.0249268924
0.072156  -0.0363030540  0.0610957776
0.133859  -0.0668838507  0.1126362538
0.214393  -0.1054990136  0.1779300535
0.313636  -0.1499582254  0.2536287585
0.431436  -0.1964448728  0.3338849402
0.567615  -0.2391593808  0.4097650897
0.721965  -0.2703387708  0.4691870490
0.894252  -0.2809378590  0.4977993545
1.084211  -0.2622105923  0.4811691346
1.291555  -0.2082178016  0.4083621059
1.515968  -0.1188731700  0.2764091778
1.757107  -0.0025977888  0.0943298763
2.014607  0.1227578554  -0.1153203656
2.288073  0.2319508138  -0.3192835060
2.577091  0.2977017904  -0.4810147315
2.881220  0.2984441240  -0.5698926558
3.199996  0.2263285874  -0.5677382962
3.532935  0.0920281421  -0.4708317679
3.879529  -0.0772267343  -0.2900119959
4.239251  -0.2457380904  -0.0507386025
4.611553  -0.3783260393  0.2086889456
4.995867  -0.4466669275  0.4421511420
5.391609  -0.4335852199  0.6033732318
5.798176  -0.3365264564  0.6551680786
6.214949  -0.1697942888  0.5788074578
6.641292  0.0359256093  0.3812838874
7.076558  0.2379986127  0.0978068140
7.520082  0.3903244533  -0.2125459354
7.971191  0.4544432644  -0.4784548512
8.429195  0.4105021602  -0.6333857803
8.893399  0.2647012861  -0.6339084805
9.363096  0.0503062359  -0.4739185886
9.837569  -0.1790850362  -0.1897411676
10.316096  -0.3629753119  0.1466996957
10.797950  -0.4506851623  0.4459029784
11.282395  -0.4164336930  0.6254607522
11.768695  -0.2679027361  0.6341635031
12.256108  -0.0451556609  0.4679127706
12.743892  0.1902342235  0.1720223220
13.231305  0.3727729942  -0.1712860160
13.717605  0.4519861209  -0.4665702272
14.202050  0.4068315974  -0.6327291074
14.683904  0.2511918309  -0.6259010583
