# SLAM wave function for l=2
# r  Re(psi)  Im(psi)
0.005577  -0.0000000043  0.0000000310
0.029377  -0.0000006231  0.0000045234
0.072156  -0.0000092217  0.0000669687
0.133859  -0.0000586611  0.0004263975
0.214393  -0.0002390798  0.0017413924
0.313636  -0.0007372866  0.0053909864
0.431436  -0.0018710586  0.0137712898
0.567615  -0.0040952716  0.0304584840
0.721965  -0.0079463771  0.0600472075
0.894252  -0.0138881810  0.1074433834
1.084211  -0.0220356200  0.1764497142
1.291555  -0.0317736055  0.2676932435
1.515968  -0.0413542387  0.3763333747
1.757107  -0.0476262433  0.4904647547
2.014607  -0.0460888508  0.5914108651
2.288073  -0.0314612666  0.6567464213
2.577091  0.0010058076  0.6656194880
2.881220  0.0531944645  0.6043300497
3.199996  0.1210590248  0.4697868455
3.532935  0.1930122605  0.2702984606
3.879529  0.2525268103  0.0249604773
4.239251  0.2838715466  -0.2376899238
4.611553  0.2767087071  -0.4822323163
4.995867  0.2278340911  -0.6703747275
5.391609  0.1414356378  -0.7665503822
5.798176  0.0289306701  -0.7450550447
6.214949  -0.0918857779  -0.5977022395
6.641292  -0.1990727738  -0.3398588290
7.076558  -0.2704300259  -0.0122602048
7.520082  -0.2885642439  0.3234465707
7.971191  -0.2459546556  0.5959430492
8.429195  -0.1484443229  0.7405947736
8.893399  -0.0156959200  0.7170929809
9.363096  0.1221721077  0.5232265389
9.837569  0.2314405019  0.1998334411
10.316096  0.2835829518  -0.1760172038
10.797950  0.2635473412  -0.5091492791
11.282395  0.1748924388  -0.7114436358
11.768695  0.0398655134  -0.7269349327
12.256108  -0.1060223645  -0.5490381638
12.743892  -0.2235981442  -0.2240483535
13.231305  -0.2810347807  0.1608249696
13.717605  -0.2629183683  0.5016823413
14.202050  -0.1745699229  0.7071808745
14.683904  -0.0403148597  0.7239104917
